ID,State,Sex,Age_Group,COVID_Deaths,Pneumonia_Deaths,Pneumonia_COVID_Deaths,Influenza_Deaths,Pneumonia_Influenza_COVID_Deaths
1,District of Columbia,Male,18-29,0,0,0,0,0
1,District of Columbia,Male,30-39,,,,0,
1,District of Columbia,Male,40-49,,,,0,
1,District of Columbia,Male,50-64,26,27,22,0,31
1,District of Columbia,Male,65-74,22,24,20,0,26
1,District of Columbia,Male,75-84,20,22,18,0,24
1,District of Columbia,Female,0-17,0,0,0,0,0
1,District of Columbia,Female,18-29,0,0,0,0,0
1,District of Columbia,Female,30-39,,,,0,
1,District of Columbia,Female,40-49,,,,0,
1,District of Columbia,Female,50-64,11,17,11,0,17
1,District of Columbia,Female,65-74,10,14,,0,15
1,District of Columbia,Female,75-84,,,,0,11
1,District of Columbia,Male,0-17,,,,0,
1,District of Columbia,Male,18-29,0,0,0,0,0
1,District of Columbia,Male,30-39,,,,0,
1,District of Columbia,Male,40-49,,,,0,
1,District of Columbia,Male,50-64,22,22,18,0,26
1,District of Columbia,Male,65-74,24,20,17,0,27
1,District of Columbia,Male,75-84,25,24,19,0,30
1,District of Columbia,Female,0-17,0,0,0,0,0
1,District of Columbia,Female,18-29,,,,0,
1,District of Columbia,Female,30-39,,,,0,
1,District of Columbia,Female,40-49,0,,0,0,
1,District of Columbia,Female,50-64,19,10,,0,21
1,District of Columbia,Female,65-74,23,15,14,0,24
1,District of Columbia,Female,75-84,23,16,15,0,24
1,District of Columbia,Male,0-17,0,0,0,0,0
1,District of Columbia,Male,18-29,,,0,0,
1,District of Columbia,Male,30-39,0,0,0,0,0
1,District of Columbia,Male,40-49,,,,0,
1,District of Columbia,Male,50-64,21,13,11,0,23
1,District of Columbia,Male,65-74,20,16,13,0,23
1,District of Columbia,Male,75-84,15,13,,0,19
1,District of Columbia,Female,0-17,0,0,0,0,0
1,District of Columbia,Female,18-29,0,,0,0,
1,District of Columbia,Female,30-39,0,0,0,0,0
1,District of Columbia,Female,40-49,,,,0,
1,District of Columbia,Female,50-64,,,,0,10
1,District of Columbia,Female,65-74,17,14,13,0,18
1,District of Columbia,Female,75-84,13,11,,0,17
1,District of Columbia,Male,0-17,0,0,0,0,0
1,District of Columbia,Male,18-29,0,0,0,0,0
1,District of Columbia,Male,30-39,0,0,0,0,0
1,District of Columbia,Male,40-49,,,,0,
1,District of Columbia,Male,50-64,11,,,0,15
1,District of Columbia,Male,65-74,12,12,,0,17
1,District of Columbia,Male,75-84,,,,0,
1,District of Columbia,Female,0-17,0,0,0,0,0
1,District of Columbia,Female,18-29,,,,0,
1,District of Columbia,Female,30-39,0,0,0,0,0
1,District of Columbia,Female,40-49,,0,0,0,
1,District of Columbia,Female,50-64,,,,0,10
1,District of Columbia,Female,65-74,10,,,0,14
1,District of Columbia,Female,75-84,,,,0,11
1,District of Columbia,Male,0-17,0,0,0,0,0
1,District of Columbia,Male,18-29,0,0,0,0,0
1,District of Columbia,Male,30-39,,,,0,
1,District of Columbia,Male,40-49,,,,0,
1,District of Columbia,Male,50-64,11,,,0,15
1,District of Columbia,Male,65-74,,,,0,
